tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2032789489467404798',"If we somehow all had access to a simulator that allowed us to experience life as a rich person, we'd waste far less time on the same traps that our ancestors already fell in, we'd figure out much more quickly what it's like to be a truly wealthy person and lead a wealthy life.",en,Reply,2,17,4,1,961,2026-03-14 08:02:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2032449948088979603',"Intergenerational wealth isn’t just about what you leave to your kids, it’s also about what you leave to your parents while you still can:",en,Tweet,58,295,17,17,44621,2026-03-13 09:33:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2032449967600894281',Your parents are the only people in the world who need nothing from you to genuinely love you; and what you do with that information says a lot about the kind of person you are.,en,Reply,9,42,8,0,1674,2026-03-13 09:33:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2031999433433628916',There are actually many signs that you are currently in the right direction in life:,en,Tweet,837,1723,58,28,338593,2026-03-12 03:43:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2031999462714011782',"And as you eventually look back, it will all seem very obvious that the challenge was always to stay calm when it felt like life was targeting you from all sides simultaneously: when you felt like you had no other choice was actually the test that you were meant to overcome.",en,Reply,10,57,4,0,13375,2026-03-12 03:43:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2031726338206576697',"You suddenly get luckier once you strike the right amount of ""unemployment."" 

Being constantly busy chasing opportunities ironically makes you miss the most important ones.

Success boils down to being early and right, and that only happens with the courage to look like a fool:",en,Tweet,167,557,38,39,50856,2026-03-11 09:38:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2031877769668509841',"@laraghavan Well said. The soft spot is probably a situation along the lines of ""hardship that doesn't feel so painful that you lose your mental clarity, but still force you to move.""",en,Reply,0,1,0,0,135,2026-03-11 19:39:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2030933278530978169',@QXsToo Sent you a DM!,en,Reply,1,2,0,1,80,2026-03-09 05:06:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2029700337469468675',"When you refuse to change as the world changes, it's not integrity, it's not sticking to your principles; it's mostly repeating the common pattern of old people who are stubbornly wrong.",en,Tweet,66,314,33,22,15218,2026-03-05 18:27:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2029224075269423245',"Most of your ""mental struggles"" actually come from having too much free time and not having enough courage to deeply commit to any difficult goal.",en,Tweet,311,988,115,47,55630,2026-03-04 10:54:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2029090134344515951',"If you are not serious about maintaining a consistently high-energy version of yourself, you are not serious about any of your goals.",en,Tweet,264,827,86,39,50166,2026-03-04 02:02:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2029084796815851520',Insecure parents often raise kids that are full of self-doubt; building and nurturing your own self-confidence is a parental responsibility.,en,Tweet,59,302,29,15,13854,2026-03-04 01:41:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2028695943537975700',"Constantly talking about wealthy and successful people who don't even know that you exist is not only a sign of low intelligence, but also a sign of profound lack of self-respect, as you should have much better to do with your life.",en,Tweet,98,459,51,44,19293,2026-03-02 23:56:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028473017714835841',Your growth never stops if you let your fears be your life compass instead of what you stay away from.,en,Tweet,49,252,31,23,13965,2026-03-02 09:10:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028466998787854828',"Many people who gave up on getting wealthy say they don't care about money; many people who gave up on finding love say they don't want to get married; many people who gave up on building a loving family say they don't want to have kids; behind most people who ""don't want"" something are actually idealistic and romantic souls who got disappointed, people who no longer want to get hurt.",en,Tweet,140,450,45,26,25091,2026-03-02 08:46:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028449250892517822',"A lot of success boils down to whether you can figure out how to build and stay in an environment where you will consistently retain enough quiet time alone to reflect on who you truly want to be when untainted by groupthink and peer pressure, then invest in yourself accordingly.",en,Tweet,111,375,45,25,13862,2026-03-02 07:36:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028447918374728163',Anxiety is just unrealized potential.,en,Tweet,45,303,31,32,14383,2026-03-02 07:30:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028446712181002282',"People who think they don't have enough time actually usually don't have enough depth of thought, they are impulsive and emotional, they end up making a lot of unnecessary mistakes, and spend the rest of their lives fixing them instead of working on real problems.",en,Tweet,205,469,42,21,53331,2026-03-02 07:25:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028400721864085689',Your relationships are a reflection of your level of self-respect.,en,Tweet,61,374,44,17,17426,2026-03-02 04:23:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2028397398238834913',Getting regularly angry and annoyed at trivial things that don’t matter is mostly the sign that you have nothing meaningful ongoing with your life.,en,Tweet,173,835,80,30,26000,2026-03-02 04:10:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2028395856706338819',"It may sound like these standards are way too low, but you look around, and you realize that parents who are simply not constantly arguing with each other in front of their kids are actually a small minority, and that if you are treating your spouse with respect and love, as it should be, you are already doing a great job as a parent.",en,Tweet,91,379,37,20,21379,2026-03-02 04:03:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2028326622215164185',Being afraid of change mostly means that you’ve been comfortable for way too long already.,en,Tweet,49,367,35,25,14471,2026-03-01 23:28:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2028308436459684340',Abundance of opportunities comes to people who enjoy playing the long-term games through the decades; scarcity of opportunities happens to people who are always afraid of committing and following through anything at all.,en,Tweet,79,376,43,17,15691,2026-03-01 22:16:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2028049478327181654',"In a game, if you get a bit bored, you increase the difficulty level and you start over; in real life, if you feel a bit empty, you build a family with the goal of being a good parent and you start over; harder means more fun and meaningful, you just need to play more skillfully.",en,Tweet,95,379,30,18,16908,2026-03-01 05:07:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2027970049911431239',"Stop writing about writing, and start the actual writing.

Stop talking about money, love, purpose, and start actually committing to something.

Stop worrying about the worst-case scenarios all the time, and start actually living the only life you have.

Progress comes from action, not from endless self-reflection.",en,Tweet,205,540,71,38,22724,2026-02-28 23:51:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2027917764636369131',Chasing prestige and power is one of the most common ways people choose to run away from their insecurities.,en,Tweet,60,317,33,19,16575,2026-02-28 20:24:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2027900365866459642',"When you are truly investing properly in yourself, “today” is always the “worst” your life is ever gonna be.",en,Tweet,135,483,56,14,58670,2026-02-28 19:14:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2027907009623036212',@JoeJustice 🧡,qme,Reply,0,1,0,0,603,2026-02-28 19:41:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2027567860328067271',"Most people who think they don’t have time to work out and take care of themselves are precisely in such a position because they didn’t work out and take care of themselves earlier in life.

They ended up never developing the mental clarity necessary to make the smart long-term decisions that would have allowed them more freedom as they got older.",en,Tweet,163,491,43,37,50858,2026-02-27 21:13:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2027220563404665194',"Most of your anxiety disappears once you have a comfortable financial safety net, healthy habits you are diligent about, a loving circle of family and friends, and a long-term vision that naturally makes you grow as a person year after year.",en,Tweet,361,1064,122,37,57731,2026-02-26 22:13:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2027055512479813835',Most people who spend their time complaining about everything are actually people who never faced any real problem.,en,Tweet,55,409,48,38,17100,2026-02-26 11:17:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2026846782270136617',"“You will get it once you are older,” is in retrospect, the kind of intellectual shortcut that people who were confused about how to live their lives and who never grew the mental clarity and eloquence to understand why they were where they were, love to use.

Now that I’m older, I get it indeed, that your life is the compounded decisions and the efforts that you started ten or twenty years ago, and people actually get exactly the life they deserve, it just takes more than average intelligence and memory to understand the causality of the sequence of your choices:

you look around, and most people barely remember the articles and videos they consumed a few weeks ago, let alone the conversations from a few years ago, let alone their “life-changing” turning points from ten years ago.

In doubt, hang out with older people who are actually happy with their lives, it’s obvious when you look at them, they seem much younger than their age, they are surrounded by love every day, and they will actually have advice worth listening to, not the common cynical, pessimistic, and jaded view that most old people who didn’t get to experience a wholesome life rooted in freedom have.",en,Tweet,132,262,30,10,17608,2026-02-25 21:28:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2026838065260679270',"At some point in life, you’re gonna be dealing with health issues, if not your own, your grandparents, your parents, your children; and everyone who went through this knows how much energy it takes away from you, and wouldn’t want to inflict it on anyone else; which is why not having the discipline to maintain a healthy lifestyle usually means that you don’t care much about anyone else.",en,Tweet,267,872,107,23,56258,2026-02-25 20:53:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2026831353946452028',"Anxiety signals that you are competing where you shouldn’t. When you are smart, you focus on what you do best, you don’t mindlessly work hard out of pride. The best path you could walk makes you feel free: you are playful, relaxed, confident; you are where you are meant to be.",en,Tweet,156,449,47,27,36342,2026-02-25 20:27:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2026310440188579920',Building self-confidence is the art of closing the gap between what you claim you want to do and what you actually do.,en,Tweet,104,486,66,53,18456,2026-02-24 09:57:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2026296676168905052',"A great family starts with a great marriage, and a great marriage starts with a great relationship with yourself: that's when you will naturally attract people who are also in a great relationship with themselves, that's when you can finally start focusing on goals that matter.",en,Tweet,181,707,87,33,52117,2026-02-24 09:02:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025931866516427056',Most of your current frustrations come from the younger version of yourself who refused to make the necessary changes; be kind to your future self and don't repeat the same mistake.,en,Tweet,146,675,70,32,18884,2026-02-23 08:52:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025918945543487591',"Smart people love the intellectual stimulation that comes from exchanging perspectives with smarter people and keep getting smarter; average people feel very insecure about being around people who can read them like an open book, so never do it, and never grow much as a result.",en,Tweet,353,1489,177,48,70301,2026-02-23 08:01:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025425088158597456',Anxiety is the gap between your current standards and the standards you should have.,en,Tweet,131,557,52,29,55008,2026-02-21 23:19:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025200030525902980',"If you feel at peace with who you are, get to spend as much time as you want with the friends you like and the family you love, and don't need to work for money, you are already extremely wealthy.",en,Tweet,119,552,50,35,41225,2026-02-21 08:24:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025099299454157233',People who take themselves too seriously never figure out the peace of mind that comes from steady growth because they are too afraid of being wrong in public.,en,Tweet,66,299,29,18,13350,2026-02-21 01:44:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025098690525053105',Great friends always unapologetically point out what you can't notice about yourself that you really need to notice.,en,Tweet,47,290,33,14,13753,2026-02-21 01:42:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025098293530034467',"The most important truths, the ones that lead to the most life-changing opportunities, are found in the gap between how you see the world and how everyone else sees the world.",en,Tweet,79,271,39,15,12856,2026-02-21 01:40:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025095878114156593',"Don't expect life to get less stressful, just train who you are and get mentally stronger.",en,Tweet,69,392,37,14,12903,2026-02-21 01:30:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025093445497618684',"People who don't want to make the effort to think about what they actually need in life tend to mindlessly chase money, thinking that they can always figure things out later, after they got rich, and that's usually only a good recipe for walking your whole life on someone else's path.",en,Tweet,128,344,26,26,17759,2026-02-21 01:21:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2025089993363128383',Nothing brings as much anxiety as not having a clear goal and watching your years passing by in a meaningless way.,en,Tweet,99,455,33,21,15350,2026-02-21 01:07:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2024722035528913128',"What most people call anxiety is usually lack of a clear goal, lack of courage to actually act, lack of honesty with themselves about the life they truly want, and in so many cases, it’s even all three at the same time.",en,Tweet,131,418,45,28,15187,2026-02-20 00:45:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2024706570433810463',"People don't struggle to teach emotional control to their kids, they struggle with their own, and you can't teach what you can't do.",en,Tweet,39,248,36,10,11445,2026-02-19 23:43:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2024699719772233932',"Most professional failures are actually personal relationship failures.

You will generally learn more slowly if you are surrounded by the wrong people.

You will also waste so much time in unnecessary drama instead of actually advancing your goals.

If you’re gonna have high standards for the quality of your work, you should also have high standards for your relationships.",en,Tweet,191,498,64,39,46445,2026-02-19 23:16:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2024331797019213859',"Parenting is never something you can outsource, if your work is taking up all your time, you are effectively choosing to be an absent parent, and yet so many parents somehow managed to convince themselves that they were doing it for their kids and that they were “good parents.”",en,Tweet,77,306,35,14,15858,2026-02-18 22:54:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2024319698419274244',"If you can just figure out how to stay high-energy, intellectually curious, mentally calm, and emotionally present around your kids, you are already doing much better than most parents.",en,Tweet,166,537,59,19,46213,2026-02-18 22:06:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2024322426981798395',"So many parents can’t even show love and respect to their spouse in front of their kids, they are constantly stressed out, worried, angry, but somehow also have the arrogance to talk about raising emotionally healthy children.",en,Reply,30,94,10,3,8020,2026-02-18 22:17:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2024115940875739540',Your anxiety is the accumulation of the shots you never took because you talked yourself out of them due to your lack of courage.,en,Tweet,127,499,47,29,17556,2026-02-18 08:37:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2024113232785309995',"If you don't need to work for money, but somehow can't figure out how to live a happy life either, the problem isn't that money can't buy happiness, it's that money can't buy good taste.",en,Tweet,31,199,16,15,11060,2026-02-18 08:26:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2024110126698004817',Your ability to build the life you want isn't defined by your occasional moments of inspiration or strokes of genius; it's defined by what you do with plain sheer discipline during your average and bad days.,en,Tweet,184,741,88,52,18335,2026-02-18 08:13:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2023797286174941615',"There is nothing sadder than leading a life where you are never wrong, where you never have to question and renew yourself, it means you've been spending it all in the wrong directions.",en,Tweet,73,350,47,37,14056,2026-02-17 11:30:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2023241107392630987',"You will keep growing as a person as long as you maintain the habit of doing, at least once every day, something you've been reticent or scared of doing; it could be reaching out to a stranger you've curious about, traveling to a place you've always been interesting in, reading a book that always intimidated you, having a conversation in a foreign language, investing a bit of money in a field that you don't understand, publishing your imperfect thoughts online, getting married and starting a family despite your fears of commitment, getting rid of old unhealthy habits that had become a big part of yourself, stopping and staring a little bit in a world that keeps making you feel like you can never stop running.",en,Tweet,300,681,76,37,54818,2026-02-15 22:40:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2023242340354195499',And you will feel at peace with yourself and with the way you've been spending your life as long as you keep growing.,en,Reply,13,99,5,2,10070,2026-02-15 22:45:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2023043178652434748',Getting older is also the realization that genuine friends who think about you and care are extremely rare.,en,Tweet,76,632,66,37,24188,2026-02-15 09:34:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2023032061943312799',"Average minds often spend their time fixing problems they could have avoided in the first place, and they are somehow always very proud of it; smarter people make sure the problems never exist, never mention it, and no one ever notices either.",en,Tweet,208,566,66,40,36769,2026-02-15 08:50:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2022566052987834839',Anger is a common manifestation of the frustration of not being who you want to be.,en,Tweet,82,452,30,28,16903,2026-02-14 01:58:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2022565187707113589',"When they say ""I don't want it,"" most people actually mean ""I'm scared of trying my best and still fail to get what I want, hence I'd rather not even try at all.""",en,Tweet,42,239,20,19,12771,2026-02-14 01:54:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2022540339006107793',"If you value respect and trust, but live in a low-trust and low-respect society, just move to another place where your common sense will be aligned and not debated, you’re gonna save so much time and energy, your relationships will become effortless, life will get so much better.",en,Tweet,120,540,66,38,21868,2026-02-14 00:16:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2022332596081074191',Anxiety is your mind begging you to change your lifestyle.,en,Tweet,235,978,89,43,59890,2026-02-13 10:30:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2022268214873641061',"Being poor ironically makes everything more expensive, in money, in health, in energy, in time.",en,Tweet,73,574,47,46,40361,2026-02-13 06:14:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2021967537232343481',"Every generation, you have technological breakthroughs that redefine the rules of the games we play in society; and every generation, you have people who refuse to relearn who they are, because they are too invested in beliefs that are now wrong, because they married a fixed identity instead of an evolving identity, because they are too obsessed with their nostalgic feelings to see and adapt to the new world they live in; make sure you don't belong to that crowd.",en,Tweet,93,304,48,24,15127,2026-02-12 10:20:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021965097598693836',"The day you are no longer afraid of ""disappearing"" in order to live a quiet and private life with the people you love, you've won the game.",en,Tweet,122,506,58,24,20382,2026-02-12 10:10:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021962350472167465',"Assume that it's always possible to be a loyal spouse, a loving parent, a devoted child, a thoughtful friend, a productive citizen, an avid learner, a disciplined athlete, an unconstrained artist, an independent thinker, a wise human being that doesn't take themselves too seriously; then learn how to be constantly more efficient with your time, leave your judgments and ego aside, leverage your capital fearlessly, get rid of your pride and use all the tools available, and go live your greatest life.",en,Tweet,158,429,62,14,16482,2026-02-12 09:59:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021943964434411645',"It's actually very recommended that you keep ""disappointing"" those who never really wanted the best for you.",en,Tweet,71,434,40,27,15132,2026-02-12 08:46:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021940583112356249',"Being busy all the time kills your creativity, your relationships, and your ability to notice what matters.",en,Tweet,142,681,78,38,41689,2026-02-12 08:32:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021919390456066308',"The only honest advice you will get from successful people is to stop asking them what once worked out for them (because it wouldn’t work the same way for them anymore, let alone for you) and just focus on your own strengths, your own accumulated efforts, your own unique journey.",en,Tweet,83,404,53,33,12827,2026-02-12 07:08:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2021633296225169641',"Many people ironically become who they dislike, because you become what you focus on, and too many people spend their time thinking about their unpleasant interactions with others when they should rather be thinking about who they want to be and what kind of life they want to build.",en,Tweet,248,651,89,34,41748,2026-02-11 12:11:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021472119788535827',@james_riney @GearoidReidy 🤭😂,qme,Reply,0,7,0,0,2233,2026-02-11 01:31:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2021188062311563629',Overreacting and panicking over trivial things that won’t matter in the long run is mostly the sign that your life has been far too comfortable until now.,en,Tweet,94,438,41,26,14707,2026-02-10 06:42:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2021094707171078655',"Life never gets easier, grow some skin, get mentally stronger, that’s the only choice you have.",en,Tweet,140,848,103,37,22521,2026-02-10 00:31:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2021086097636552733',Anxious overthinkers are just people who lack the courage to act.,en,Tweet,76,299,17,23,12667,2026-02-09 23:57:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021086574637875406',"You're gonna be wrong many times along the way, but you will find your direction; that's far preferable to never being wrong (and never being right either), and living your whole life worried about everything all the time.",en,Reply,42,151,11,5,8601,2026-02-09 23:59:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021084720965333313',"At birth, you didn't choose whether your family was rich or poor; but as an adult, with every passing year, your life becomes more and more a reflection of your decisions, and at the end of your life, being poor, in every sense of the term, mostly means that you lived life with a poor mindset.",en,Tweet,148,465,46,18,21806,2026-02-09 23:52:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021083864685477952',"Nothing is more frustrating than discussing with people who are smart enough to think, but never brave enough to act.",en,Tweet,77,390,34,24,16041,2026-02-09 23:48:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2021083462879662564',"It's clear when you look at people who manage to get what they want from life, that they are not necessarily the smartest or the most talented, but they are definitely quick to act, they don't overthink unpredictable details, and they don't mind a bit of uncertainty along the way",en,Tweet,113,513,40,28,13630,2026-02-09 23:47:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
